ID_CJYP,DESC_CJYP,DIRECCION,CODPOSTAL,TELEFONO,X,Y,AGENCIA_NEW,ID_LOCALIDAD,RESPONSABLE,PROBIENESTAR,ESTADO,COMISIONVIGENTE,ENFERMERIA,PEDICURIA,AUTOCUIDADO,RECREATIVA
97,C JYP NAC DE LA MADRID,ALBERDI S/N°  S/N,T4176XAD,421076,-65.25000,-27.63333,129,"6,663",BARRIONUEVO ANTONIO,1,1,1,0,0,0,0
98,ASOC C JYP FERROV Y DEMAS LEYES PREV MUT-LA MADRID,AVELLANEDA S/Nº,T4176XAD,03891-421022,-65.25000,-27.63333,,"6,663",FERNANDEZ JULIO,1,1,1,0,0,0,0
99,C JYP NAC 12 DE OCTUBRE TACO RALO,SANTIAGO DEL ESTERO 339 78  ,T4242XAB,6484737,-65.20000,-27.85000,129,"6,605",,1,,,,,,
100,C JYP NAC DEL INGENIO LEALES,VILLA OBRERA  S/N ,4111,4311656,0.00000,0.00000,129,,NIEVA JUAN LUIS,1,1,1,0,0,0,0
101,C JYP NAC DE LOS GOMEZ,ZONA RURAL S/N  S/N,T4113XAF,,-65.20000,-27.35000,129,"6,611",MOLINA GENARO,1,1,1,0,0,0,0
102,CTRO DE JYP NACIONALES CORAZONES SOLIDARIOS,ZONA RURAL S/N S/N,4115,4224162/4219269,-65.28333,-27.23333,129,"6,838",CANDORI,0,1,1,0,0,0,0
103,C JYP NAC DE MANCOPA,"RUTA 9 KM 12,69 88  ",4115,,0.00000,0.00000,129,,TORRES CRISTOBAL,1,1,1,0,0,0,0
104,C JYP NAC DE SANTA ROSA DE LEALES,V STA ROSA DE LEALES  0,T4111XAR,0863/93048,-65.26626,-27.15019,129,"6,872",ZELAYA RENE ENRIQUE,1,1,1,0,0,0,0
105,C JYP RIO COLORADO,BELGRANO     S/N°  S/N° ,T4166XAC,,-65.35000,-27.15000,129,"6,724",NAVARRO RAUL,1,1,1,0,0,0,0
106,C JYP DR. ERBETTA,SAENZ PEÑA 184,T4168AUD,,-65.31667,-27.03333,129,"6,525",CORDOBA  RAMON JULIO,1,1,1,0,0,0,0
107,C JYP NAC DE GARCIA FERNANDEZ,9 DE JULIO  S/N°  S/N,4168,41550000,-65.34844,-27.04649,129,"6,438",NIEVA NILDA,1,1,1,0,0,0,0
108,C JYP DE ACHERAL,RIVADAVIA ESQ.ALBERDI    S/N,T4134XAC,241700,-65.46667,-27.11667,129,"6,386",TREJO DOMITILIA CARMEN,1,1,1,0,0,0,0
109,C JYP NAC DE SANTA LUCIA,ALVAREZ CONDARCO  145,T4135XAC,0863/98019,-65.53333,-27.10000,129,"6,618",ELIAS ANGELICA DONATELLA,1,1,1,0,0,0,0
110,C MUTUAL DE JYP NAC LEON ROUGES,SAN MARTIN 40 ,T4144XAD,,-65.51667,-27.23333,129,"6,619",,0,2,0,0,0,0,0
111,ASOC JYP NAC DE MONTEROS,SAN MARTIN    ,T4142BKZ,0863/26556,-65.50000,-27.18333,129,"6,388","COSTILLA,MARIA HORTENSIA",1,1,1,0,0,0,0
112,C JYP NAC DE RIO SECO,AVELLANEDA  532,T4145XAB,71077,-65.56667,-27.26667,129,"6,323",BRAVO  AURORA DEL VALLE,1,1,1,0,0,0,0
113,CENTRO DE JYP NACIONALES DE SIMOCA,SAN MARTIN 846 846,T4172XAE,03863-487240/48,-65.35000,-27.26667,129,"6,623","FERNANDEZ, MAURO ALBERTO",1,1,1,0,0,0,0
114,FRENTE DE UNIDAD DE JYP DEL SUR,BELGRANO 640 ,T4172XAE,03863-481376,-65.35000,-27.26667,129,"6,623",FERNANDEZ MAURO,0,1,1,0,0,0,0
115,C JYP DE VILLA QUINTEROS N° 1,CONSTITUCION 1° CUADRA S/N  ,4144,03863-471153,-65.55000,-27.25000,129,"6,669","AVILA, RAUL",1,1,1,0,0,0,0
116,C JYP DR ALBERTO ROUGES,AV BELGRANO  Y  SAN  JOSE  S/N,T4144XAD,,-65.51667,-27.23333,129,"6,619",DIAZ JESUS ANGEL,1,1,1,0,0,0,0
117,C JYP DE AGUILARES,AV BELGRANO  443,4152,81928,-65.61667,-27.43333,129,"6,726","VIDES,NELIDA",1,1,1,0,0,0,0
118,C JYP INGENIO SANTA BARBARA,B¦ SOFIA LOPEZ DE TERAN   S/N,4152,0865611,-65.61667,-27.45000,129,"6,794",SUELDO MIGUEL ANTONIO,1,1,1,0,0,0,0
119,CTRO. DE JYP VIRGEN DEL ROSARIO DE SAN NICOLAS,MAXIMO TERAN S/N,4152,482355,-65.61857,-27.46858,129,"6,844",ARIAS AMALIA,0,1,1,0,0,0,0
120,C JYP NAC DEL EX INGENIO SANTA ANA,PJE SAN LORENZO S/N  S/N,T4155XAB,03865-493028,-65.68333,-27.46667,129,"6,670",PEREZ ENRIQUE ANTONIO,1,1,1,0,0,0,0
121,C JYP NAC DE JUAN BAUTISTA ALBERDI,AV.SARMIENTO Y NOUGUES S/N S/N,4158,,-65.61907,-27.58184,129,"6,606",JOSE ADOLFO SOTELO ,1,1,1,0,0,0,0
122,CASA DEL JUBILADO,PASTEUR  309,4158, 71-637,-65.61907,-27.58184,129,"6,606",GONZALEZ ROSARIO,1,1,1,0,0,0,0
123,C JYP NAC SAN ISIDRO LABRADOR,BELGRANO   S/N,4157,890698,-65.70000,-27.41667,129,"6,621",SANTILLAN NILDA,1,1,1,0,0,0,0
124,CTRO. DE JYP. NACIONALES SAN JORGE,SARMIENTO  S/N,4157,03865-494047,-65.70000,-27.41667,129,"6,621",HAISE MARTHA NELIDA,0,1,1,0,0,0,0
125,C JYP NAC UNION EL POLEAR,RUTA PROV 332 KM 6  ,4157,,0.00000,0.00000,129,,PEREA CELIA ROSA,1,1,1,0,0,0,0
126,C JYP NAC DE LOS VALLES CALCHAQUIES,LOS SAZOS S/N°     S/N,4137,03892-421036,-65.91667,-26.55000,129,"6,729",ABALOS PASTOR,1,1,1,0,0,0,0
127,C JYP EL ANTIGAL DE COLALAO DEL VALLE,25 DE MAYO Y RECONQUISTA  ,4137,03892-421054,-65.93333,-26.36667,129,"6,392",SANTOS LUCIANO,1,1,1,0,0,0,0
128,C JYP NAC EL MOLLAR,CALLE PRINCIPAL  S/N  ,4135,,-65.21667,-26.83333,129,"6,709",CHOCOBAR ADRIAN,1,1,1,0,0,0,0
129,C JYP GRAL MANUEL BELGRANO DE EL MANANTIAL,ANICETO DE LA TORRE  350 ,4105,4391769,-65.28333,-26.85000,129,"6,862","BRITO, MIGUEL",1,1,1,0,0,0,0
130,C JYP UNIDAD Y PROGRESO EL MANANTIAL,ANTONIO TABOADA  12,4105,390849,-65.28333,-26.85000,129,"6,862",CRUZ ROLANDO MADRID,1,1,1,0,0,0,0
131,C JYP DE TAFI DEL VALLE,JUAN CALCHAQUI  419,4137,0863-21487,-65.71667,-26.86667,129,"6,731",RIOS ROSARIO APOLINARIO,1,1,1,0,0,0,0
132,CTRO. DE JYP FERROV. Y DEMAS LEYES  NAC.,AV ALEM 715 715,4103,4616777,-65.26667,-26.73333,129,"6,732",CERRUTTI MARIO,1,1,1,0,0,0,0
133,C JYP NAC DE TAFI VIEJO,9 DE JULIO  782,4103,4615719,-65.26667,-26.73333,,"6,732","GUTIERREZ, CESAR",1,1,1,0,0,0,0
134,UNION FEDERATIVA DE CENTROS Y ASOC DE JYP NAC DE TUCUMAN,NOGUES JUAN LUIS 279 ,4128,(0381) - 491754,-65.35000,-26.93333,129,"6,860",CARRIZO JUAN LUIS,0,1,1,0,0,0,0
135,C JYP FERROV Y DEMAS LEYES PREV MUTUALISTAS GRAL SAN MARTIN,CORONEL LARRABURE 868,4103,61-9013,-65.26667,-26.73333,,"6,732","MONTOYA, FELIX",1,1,1,0,0,0,0
136,C JYP NAC DE VILLA CARMELA,J.B.TERAN  Y  LOS PINOS  37  ,4105,930028,-65.28724,-26.76536,,"6,881",AGUIRRE NELLY,1,1,1,0,0,0,0
137,C NAC DE LA CIUDAD DE YERBA BUENA,LA OLLA B°HORCO MOLE  61  ,4107,4251576/4341703,-65.30000,-26.83333,129,"6,538",GUZMAN OLGA,1,1,1,0,0,0,0
138,CENTRO DE JYP DE CHOROMORO,ZONA RURAL  S/Nº,4122,,-65.31667,-26.40000,,"6,799","CAMBERO, GREGORIO",1,1,1,0,0,0,0
139,C JYP NAC DE SAN PEDRO DE COLALAO,TUCUMAN  28  ,4124,03862-481089,-65.50000,-26.23333,129,"6,537",GUTIERREZ ANGEL,1,1,1,0,0,0,0
140,CENTRO DE JYP EL COLALEÑO ASOCIACION CIVIL,CALANDRIA S/N S/N,4124,03862-481145,-65.50000,-26.23333,129,"6,537",PERDIGON JUANA INES,0,1,1,0,0,0,0
141,C JYP DE TRANCAS,HIPOLITO YRIGOYEN 478 6   ,4124,421100/421088,-65.28333,-26.21667,129,"6,399",GARCIA ARGENTINA,1,1,1,0,0,0,0
142,C JYP NAC 29 DE AGOSTO,LUIS F. NOUGUES   23,4158,934948,-65.61907,-27.58184,129,"6,606",TORRES  FRANCISCA,1,1,1,0,0,0,0
143,CTRO. DE JYP. UNIEN Y PROGRESO LA COCHA,SARMIENTO  337,4162,03865-496015-49,-65.56667,-27.78333,129,"6,871",SEILER DARDO,0,1,1,0,0,0,0
144,C JYP NAC UNION Y PROGRESO LA REDUCCION,BELGRANO  S/N,4129,491-3039,-65.36667,-26.96667,129,"6,385",GUTIERREZ JUANA,1,1,1,0,0,0,0
145,Asoc.Civil Ctro. de JyP. de San Pablo - Grupo Renacer,3  210,4129,0381-491-7522,-65.31667,-26.88333,129,"6,529",DIAZ CIRO,0,1,1,0,0,0,0
146,C JYP ALPACHIRI - EL MOLINO,LOS MOLINOS S/N S/N,4174,,-65.76667,-27.33333,129,"6,710",RODRIGUEZ FELIX,0,1,1,0,0,0,0
147,CTRO. DE JYP NAC. SAN ANTONIO,Bº HIPOTECARIO LOTE 5 S/N,4174,,-65.26667,-27.51667,129,"6,533",GONZALEZ YOLANDA,1,1,1,0,0,0,0
148,CTRO JUB NAC SAN JOSE,MORENO 554,4172,03863-481122,-65.35000,-27.26667,129,"6,623",ALDERETE CLOTILDE,1,1,1,0,0,0,0
149,C JYP NAC DE VILLA CHICLIGASTA,SIN NOMBRE  S/N°,4174,29995,-65.14703,-27.46958,129,"6,876",ARRIETA RAMON ALBERTO,1,1,1,0,0,0,0
150,C JYP EUSEBIO ARTURO CANELO,PASAJE DARDO LEDESMA  65,4101,,-65.17814,-26.81592,,"6,708",PLAZA JOSE,1,1,1,0,0,0,0
151,"CENTRO DE JYP. NAC. PROV. , MUNICIPALES Y PRIVADOS SANTA ANA",Mza. 13 CASA 7¦ B¦ Gral.  ,,0381- 4921194,0.00000,0.00000,129,,,0,2,0,0,0,0,0
152,ASOCIACION DE JYP DE RACO Y EL SIAMBON,ATAHUALPA S/N¦. ,4105,4925174,-65.43333,-26.65000,129,"6,672",,0,2,0,0,0,0,0
153,CENTRO DE JYP NAC AMISTAD TAFICEÐA,PASAJE CASEROS  124,4103,461-7793,-65.26667,-26.73333,,"6,732","CARDOZO, LEANDRO ",1,1,1,0,0,0,0
154,CTRO. DE JYP. NAC . SAN JOSE CIVIL REDONDO,S MARTIN Y PJE M LILLO S/N ,4105,493-0536,-65.28333,-26.78333,129,"6,630",MARTINEZ TERESA,1,1,1,0,0,0,0
155,C JPYR DE ALVEAR,BELGRANO 624 624,3344,03772-470651/51,-56.55000,-29.10000,142,"2,756",PIEDRABUENA VALENTIN,1,1,1,0,0,0,0
156,C JYP CIVIL DE LA NACION BELLA VISTA,AYACUCHO  531,3432,451626,-59.03333,-28.51667,142,"2,671",ESCOBAR  EUGENIO DIONEL,1,1,1,0,0,0,0
157,C JYP DE BERON DE ASTRADA,25 DE MAYO 547 66  ,3481,20264,-57.53333,-27.55000,142,"2,679",ALEGRE HILARIA,1,1,1,0,0,0,0
158,C JYP NAC DE RIACHUELO,RUTA 12 KM 18 ,3400,03783-485034,-58.75000,-27.58333,142,"2,690",VILLANUEVA JOSE,1,1,1,0,0,0,0
159,C JYP CIV NAC DE LA PROV DE CORRIENTES,PLAYA MIRAMAR 730 730,3400,66637,-58.81761,-27.46743,142,"2,684",CARABAJAL ARTURO,0,1,1,0,0,0,0
160,C CORRENTINO DE JYP NAC PROV Y ACT CIV,RIVADAVIA 371 70  ,3400,31167,-58.84649,-27.47342,142,"2,684",,1,,,,,,
161,ASOC DE MAESTROS DE CORRIENTES,25 DE MAYO 1406 ,3400,24616,-58.83245,-27.46475,142,"2,684",,0,2,0,0,0,0,0
162,C JYP DE ATE SECCIONAL CORRIENTES,25 DE MAYO 1696 1696,3400,52783,-58.82906,-27.46510,142,"2,684",AGUIRRE RODOLFO,1,1,1,0,0,0,0
163,C JYP ENCOTEL CORRIENTES,ALBERDI 2037 75  ,3400,66816,-58.84491,-27.48005,142,"2,684",,1,,,,,,
164,FED C JYP NAC DE PCIA DE CORRIENTES,PJE SAENZ 2385,3400,03783-466816/43,-58.83333,-27.46667,142,"2,684",MIEREZ RICARDO,0,1,1,0,0,0,0
165,C JYP SIND PERS EMBARCADO DRAGADO Y BALIZAM,BRASIL 1035 71  ,3400,20100,-58.82412,-27.47033,142,"2,684",,1,,,,,,
166,C JYP NAC PROV Y MUNICIPALES DEL Bº LAGUNA SECA,RESOAGLI 2500 2500,3400,03783-451345,-58.80553,-27.49082,142,"2,684",ACOSTA PEDRO,1,1,1,0,0,0,0
167,C JYP NAC SAN JOSE OBRERO,AV CENTENARIO 4680 47  ,3400,53650,-58.79623,-27.47547,142,"2,684",,1,2,0,0,0,0,0
168,CENTRO DE JYP NACIONALES SAN JUAN BAUTISTA,SAN JUAN 2208 52  ,3400,(03783) - 42067,-58.83333,-27.46667,142,"2,684",,1,2,0,0,0,0,0
169,C JYP NAC DEL B? 17 DE AGOSTO,FLORENCIA Y MILAN SEC 2 MZNA B CASA 9  9,3400,55576,-58.83333,-27.46667,142,"2,684",CUBILLA INES,1,1,1,0,0,0,0
170,C JYP NAC DEL Bº STA ROSA,FGTA HERCULES ,"W3400HJB
",30236,-58.83333,-27.46667,142,"2,684",,0,2,0,0,0,0,0
171,"C JYP NAC, PROV Y MUNICIP DEL B° MIL VIVIENDAS",MONOBLOK   (P.BAJA) 14 68  ,3400,,-58.83333,-27.46667,142,"2,684",GOMEZ NICOMEDES,1,1,1,0,0,0,0
172,C JYP NAC UNIDOS DE CORRIENTES,TUCUMAN 1355,"W3400NWR
",03783-460041,-58.83333,-27.46667,142,"2,684",CANEPA RUBEN ALBERTO,1,1,1,0,0,0,0
173,CLUB DE LOS ABUELOS,SAN LORENZO 1858 81  ,3400,03783-425048,-58.83333,-27.46667,142,"2,684",,1,,,,,,
174,C JYP NAC Y PCIALES INTERBARRIO SUR OESTE CENTRAL,ELIAS ABAD 72  ,"W3400GTH
",34781,-58.83333,-27.46667,142,"2,684",,1,2,0,0,0,0,0
175,FEDERACION CORRENTINA DE JP Y R DE LA NACION,BOL-VAR 3292 ,3400,03783-429713/42,-58.83333,-27.46667,142,"2,684",,0,2,0,0,0,0,0
176,CENTRO DE JUB. Y PENS. DE LA MARINA MERCANTE ARGENTINA,VERA 1566 ,3400,,-58.83333,-27.46667,142,"2,684",,0,2,0,0,0,0,0
177,FEDERACIEN DE JYP. DE CORRIENTES ( FE.JU.COR),25 DE MAYO 1696,W3400MTZ,03783-438046,-58.83333,-27.46667,142,"2,684",CARBAJAL RTURO,0,1,1,0,0,0,0
178,CTRO. DE JYP. NAC. LUZ DE ESPERANZA,PERU ,"W3400QCA
",,-58.83333,-27.46667,142,"2,684",,0,2,0,0,0,0,0
179,ASOC. DE VETERANOS DE GUERRA DE MALVINAS,AVDA 3 DE ABRIL ,W3400IDI,,-58.83333,-27.46667,142,"2,684",,0,,,,,,
180,SUB-COM JYP LUZ Y FUERZA,"BELGRANO
 1990","W3400AXZ
",32772,-58.83333,-27.46667,142,"2,684",CARDOZO PEDRO,0,1,1,0,0,0,0
181,C JYP NAC DE CONCEPCION DEL YAGUARETE CORA,CAP. ARBO Y BLANCO  947,"W3423XAD
",97086,-57.88333,-28.40000,142,"2,695",VERA FELIPE,1,1,1,0,0,0,0
182,CENTRO DE JYP NAC DE TATACU-,ZONA RURAL S/N¦. S/N¦. 7   ,3421,(03782)-1561044,-58.40000,-28.71667,142,"2,694",,1,,,,,,
183,C JYP NAC DE SANTA ROSA,B¿ PROFESIONAL S/N,"W3421XAC
",94039,-58.13333,-28.26667,142,"2,698",RAMIREZ  JOSE DE LA CRUZ,1,1,1,0,0,0,0
184,C JYP NAC DE TABAY,PEDRO RIOS S/N°  S/N,"W3421XAD
",03782-15611464,-58.28333,-28.30000,142,"2,699",PETRONA GALLARDO,1,1,1,0,0,0,0
185,C JYP NAC DE LA LOCALIDAD DE PERUGORRIA,LAVALLE S/N°  50  ,"W3461XAD
",94030,-58.60000,-29.35000,142,"2,711",ZERNIK RAMON CARLOS,1,1,1,0,0,0,0
186,C JYP NAC DE CURUZU CUATIA,ALBERDI 436 ,"W3460XAC
",03774-423619,-58.05000,-29.78333,142,"2,706",MOSCARELLA ANGEL,0,1,1,0,0,0,0
187,CENTRO DE VETERANOS DE GUERRA,CAAGUAZU Y SOLER S/N,"W3460XAC
",,-58.05000,-29.78333,142,"2,706",SARRATEA LUIS F.,1,1,1,0,0,0,0
189,C JYP NAC NUESTRO SR. HALLADO DE EMPEDRADO,B MITRE 1469 1469,3418,91500,-58.78333,-27.90000,142,"2,715",BOGADO HERMINIO,1,1,1,0,0,0,0
190,CTRO. DE VETERANOS DE GUERRA DE MALVINAS DE EMPEDRADO,AV. BARTOLOME MITRE 1471 ,3418,03783-155-97391,-58.78333,-27.90000,142,"2,715",,0,,,,,,
192,C JYP DE SAN LORENZO DEPTO SALADAS,MITRE Y 25 DE MAYO  39  ,"W3416XAN
",92057,-58.76667,-28.13333,142,"2,867",,1,,,,,,
193,C JYP NAC DE CAA CATI,ALMEIDA Y LAPRIDA  S/N,3407,03781-420134,-57.61667,-27.75000,142,"2,774",IBERLUCEA JOSE ANTONIO,1,1,1,0,0,0,0
194,C JYP DE LOMAS DE VALLEJOS,ESCUELA 802  802,"W3405XAH
",420125,-57.91667,-27.73333,142,"2,773",LUISA SILVA,1,1,1,0,0,0,0
195,C JYP NAC DE PALMAR GRANDE,AV. SAN MARTIN  S/N ,"W3405XAI
",20004,-57.91667,-27.95000,142,"2,775",RAMOS  MODESTA,1,1,1,0,0,0,0
196,C JYP NAC INMACULADA CONCEPCION DE ITA IBATE,9 DE JULIO S/N S/N,"W3480XAB
",03781-495995,-57.33333,-27.43333,142,"2,767","HIDALGO, FELIPA  ELVIRA",1,1,1,0,0,0,0
197,C JYP DE GOYA JUBIPEN,SAN MARTIN 70 79  ,"W3450XAC
",0777-23274,-59.25273,-29.13997,142,"2,745",GONZALEZ GLADYS,1,1,1,0,0,0,0
198,C DOC JYP NAC DEL DTO DE GOYA,EVARISTO LOPEZ 640 640,"W3450XAC
",431433,-59.25273,-29.13997,142,"2,745",JOGI CARMEN H,0,1,1,0,0,0,0
199,C JYP NAC DEL Bº MALVINAS ARGENTINAS,PAGO LARGO  317 ,"W3450XAC
",33029,-59.25273,-29.13997,142,"2,745",ORREGO SECUNDINO,1,1,1,0,0,0,0
200,C JYP NAC DEL Bº COSTA DE LAS ROSAS,PAGO LARGO Y POLICIA FEDE  31  ,"W3450XAC
",420868,-59.25273,-29.13997,142,"2,745",QUINTANA DEMETRIO,1,1,1,0,0,0,0
201,C JYP NAC BARRIO SAN RAMON,JUJUY 967 74  ,"W3450XAC
",03777-423483,-59.25273,-29.13997,142,"2,745",,1,,,,,,
204,C JYP NAC DE ITUZAINGO,3 DE ABRIL B¿ 231 VDAS. CASA 64 ,"W3302XAD
",03786-421897,-56.68333,-27.58333,142,"2,790",DOMINGUEZ  GERARDO,1,1,1,0,0,0,0
205,C JYP NAC DE SANTA LUCIA,BUENOS AIRES 350 ,"W3445XAH
",03777-480707,-59.10000,-28.98333,142,"2,810",CANCIAN ANTONIO F,1,1,1,0,0,0,0
206,C JYP GOBERNADOR MARTINEZ,"MITRE,BME S/N°  22  ",W3445XAC,31436,-58.93333,-28.91667,142,"2,803",GONZALEZ EMILCE NOEMI,1,1,1,0,0,0,0
207,C JYP DE YATAY TI CALLE,ZONA RURAL  30  ,"W3445XAI
",424100,-58.91667,-29.03333,142,"2,812",,1,,,,,,
208,C JYP NAC DE MBURUCUYA,LAVALLE 379 379,"W3427XAC
",98110,-58.21667,-28.05000,142,"2,814","MAIDANA, TEODOSIA",1,1,1,0,0,0,0
209,C JYP NAC SAN ANTONIO,GERVACIO AGUIRRE 640 77  ,"W3427XAC
",,-58.21667,-28.05000,142,"2,814",,1,,,,,,
