localidad,NOMBRE EFECTOR COMUNITARIO,RNEJyP,CÓDIGO ACTIVIDAD 2014 MODIFICADO,TALLER,nombre_a,calle,numero,partido,provincia,codpostal,distrito,edificio,piso,dpto,barrio,fax
STA ROSA DE L,STA. ROSA DE LEALES,24-007-019-035,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,C JYP NAC DE SANTA ROSA DE LEALES,V°STA ROSA DE LEALES *,S/N,LEALES,24,4111,0,,,,,155936983
STA ROSA DE L,STA. ROSA DE LEALES,24-007-019-035,1110 - Danzas tango,1110 - DANZAS TANGO,C JYP NAC DE SANTA ROSA DE LEALES,V°STA ROSA DE LEALES *,S/N,LEALES,24,4111,0,,,,,155936983
TUCUMAN,COMERCIO,24-002-006-031,1113 - Tai Chi,1113 - TAI CHI,ASOC JYP DE COMERCIO Y ACTIV CIVILES,GRAL. PAZ,976,CAPITAL,24,4000,0,,,,,0381-156047901*
TUCUMAN,COMERCIO,24-002-006-031,,1101 - GIMNASIA,ASOC JYP DE COMERCIO Y ACTIV CIVILES,GRAL. PAZ,976,CAPITAL,24,4000,0,,,,,0381-156047901*
TUCUMAN,COMERCIO,24-002-006-031,,1408 - ARTESANÍAS / MANUALIDADES,ASOC JYP DE COMERCIO Y ACTIV CIVILES,GRAL. PAZ,976,CAPITAL,24,4000,0,,,,,0381-156047901*
TUCUMAN,COMERCIO,24-002-006-031,,1102 - YOGA / OTRAS TÉCNICAS ORIENTALES,ASOC JYP DE COMERCIO Y ACTIV CIVILES,GRAL. PAZ,976,CAPITAL,24,4000,0,,,,,0381-156047901*
TUCUMAN,COMERCIO,24-002-006-031,,1101 - GIMNASIA,ASOC JYP DE COMERCIO Y ACTIV CIVILES,GRAL. PAZ,976,CAPITAL,24,4000,0,,,,,0381-156047901*
TUCUMAN,INDEPENDENCIA,24-002-006-005,,1101 - GIMNASIA,C JYP NAC INDEPENDENCIA,LA PLATA,757,S.M. DE TUCUMAN,24,4000,0,,,,,4306443 *
TUCUMAN,INDEPENDENCIA,24-002-006-005,,1405 - CANTO / CORO,C JYP NAC INDEPENDENCIA,LA PLATA,757,S.M. DE TUCUMAN,24,4000,0,,,,,4306443 *
S.M. DE TUCUMAN,UNIDOS DE CAPITAL,24-002-006-116,,1103 - TÉCNICAS DE TRABAJO CORPORAL,C JYP NAC  UNIDOS,JOSE MANUEL ESTRADA  *,2660,CAPITAL,24,4000,0,,,,,
S.M. DE TUCUMAN,UNIDOS DE CAPITAL,24-002-006-116,,1408 - ARTESANÍAS / MANUALIDADES,C JYP NAC  UNIDOS,JOSE MANUEL ESTRADA  *,2660,CAPITAL,24,4000,0,,,,,
S.M. DE TUCUMAN,UNIDOS DE CAPITAL,24-002-006-116,1113 - Tai Chi,1113 - TAI CHI,C JYP NAC  UNIDOS,JOSE MANUEL ESTRADA  *,2660,CAPITAL,24,4000,0,,,,,
EL COLMENAR,DIVINO NIÐO,24-017-001-210,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,"""CENTRO DE JYP NACIONALES DIVINO NIÑO ASOC. CIVIL""",PJE. GARCIA,3138,TAFI VIEJO,24,4101,0,,,,,
EL COLMENAR,DIVINO NIÐO,24-017-001-210,,1408 - ARTESANÍAS / MANUALIDADES,"""CENTRO DE JYP NACIONALES DIVINO NIÑO ASOC. CIVIL""",PJE. GARCIA,3138,TAFI VIEJO,24,4101,0,,,,,
EL COLMENAR,DIVINO NIÐO,24-017-001-210,,1101 - GIMNASIA,"""CENTRO DE JYP NACIONALES DIVINO NIÑO ASOC. CIVIL""",PJE. GARCIA,3138,TAFI VIEJO,24,4101,0,,,,,
EL COLMENAR,DIVINO NIÐO,24-017-001-210,1113 - Tai Chi,1113 - TAI CHI,"""CENTRO DE JYP NACIONALES DIVINO NIÑO ASOC. CIVIL""",PJE. GARCIA,3138,TAFI VIEJO,24,4101,0,,,,,
SAN MIGUEL DE TUCUMAN,FRAY. M. ESQUIU,24-004-008-124,,1101 - GIMNASIA,C JYP NAC FRAY MAMERTO ESQUIU DE LA CIUDAD DE CONCEPCION,JUANA MANZO Y BS AS,S/N,CAPITAL,24,4146,0,,,,Bº SAN ANDRES,
SAN  MIGUEL DE TUCUMAN,AMISTAD LUZ Y VIDA,24-002-006-129,,1101 - GIMNASIA,C JYP NAC AMISTAD LUZ Y VIDA,RAUL COLOMBRES,72,CAPITAL,24,4000,0,,,,,0381-155452198*
SAN  MIGUEL DE TUCUMAN,AMISTAD LUZ Y VIDA,24-002-006-129,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,C JYP NAC AMISTAD LUZ Y VIDA,RAUL COLOMBRES,72,CAPITAL,24,4000,0,,,,,0381-155452198*
SAN  MIGUEL DE TUCUMAN,AMISTAD LUZ Y VIDA,24-002-006-129,,1406 - ARTES PLÁSTICAS,C JYP NAC AMISTAD LUZ Y VIDA,RAUL COLOMBRES,72,CAPITAL,24,4000,0,,,,,0381-155452198*
SAN  MIGUEL DE TUCUMAN,AMISTAD LUZ Y VIDA,24-002-006-129,1113 - Tai Chi,1113 - TAI CHI,C JYP NAC AMISTAD LUZ Y VIDA,RAUL COLOMBRES,72,CAPITAL,24,4000,0,,,,,0381-155452198*
SAN  MIGUEL DE TUCUMAN,AMISTAD LUZ Y VIDA,24-002-006-129,,1405 - CANTO / CORO,C JYP NAC AMISTAD LUZ Y VIDA,RAUL COLOMBRES,72,CAPITAL,24,4000,0,,,,,0381-155452198*
LOS SARMIENTO,SAN ISIDRO LABRADOR,24-009-016-105,,2101 - ALIMENTACIÓN SALUDABLE,C JYP NAC SAN ISIDRO LABRADOR,BELGRANO,S/N,RIO CHICO,24,4157,0,,,,,
LOS SARMIENTO,SAN ISIDRO LABRADOR,24-009-016-105,1102 - YOGA / OTRAS TÉCNICAS ORIENTALES,1102 - YOGA / OTRAS TÉCNICAS ORIENTALES,C JYP NAC SAN ISIDRO LABRADOR,BELGRANO,S/N,RIO CHICO,24,4157,0,,,,,
LOS SARMIENTO,SAN ISIDRO LABRADOR,24-009-016-105,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,C JYP NAC SAN ISIDRO LABRADOR,BELGRANO,S/N,RIO CHICO,24,4157,0,,,,,
MONTEROS,MONTEROS,24-008-013-014,,1101 - GIMNASIA,ASOC JYP NAC DE MONTEROS,SAN MARTIN,446,MONTEROS,24,4142,0,,,,,03863-426718*
MONTEROS,MONTEROS,24-008-013-014,1113 - Tai Chi,1113 - TAI CHI,ASOC JYP NAC DE MONTEROS,SAN MARTIN,446,MONTEROS,24,4142,0,,,,,03863-426718*
SAN CAYETANO,17 DE JULIO,24-002-006-104,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,C JYP NAC 17 DE JULIO SAN CAYETANO,RICARDO ROJAS Y G. SAL,400,CAPITAL,24,4000,0,,,,,4243-7920*
SAN CAYETANO,17 DE JULIO,24-002-006-104,1110 - Danzas tango,1110 - DANZAS TANGO,C JYP NAC 17 DE JULIO SAN CAYETANO,RICARDO ROJAS Y G. SAL,400,CAPITAL,24,4000,0,,,,,4243-7920*
SAN CAYETANO,17 DE JULIO,24-002-006-104,,1101 - GIMNASIA,C JYP NAC 17 DE JULIO SAN CAYETANO,RICARDO ROJAS Y G. SAL,400,CAPITAL,24,4000,0,,,,,4243-7920*
SAN CAYETANO,17 DE JULIO,24-002-006-104,,1408 - ARTESANÍAS / MANUALIDADES,C JYP NAC 17 DE JULIO SAN CAYETANO,RICARDO ROJAS Y G. SAL,400,CAPITAL,24,4000,0,,,,,4243-7920*
SAN MIGUEL DE TUCUMAN,Amigos,24-002-006-159,,1101 - GIMNASIA,ASOC. DE AMIGOS JUB. Y PENS. NAC.,SANTIAGO DEL ESTERO,1124,CAPITAL,24,4000,0,OFICINA 9,,,,0381-4225008*
SAN MIGUEL DE TUCUMAN,Amigos,24-002-006-159,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,ASOC. DE AMIGOS JUB. Y PENS. NAC.,SANTIAGO DEL ESTERO,1124,CAPITAL,24,4000,0,OFICINA 9,,,,0381-4225008*
SAN MIGUEL DE TUCUMAN,Rio Seco,24-008-014-015,,1101 - GIMNASIA,C JYP NAC DE RIO SECO,AVELLANEDA,532,CAPITAL,24,4145,0,,,,,
SAN MIGUEL DE TUCUMAN,Rio Seco,24-008-014-015,,1201 - MEMORIA,C JYP NAC DE RIO SECO,AVELLANEDA,532,CAPITAL,24,4145,0,,,,,
SAN MIGUEL DE TUCUMAN,Rio Seco,24-008-014-015,,1408 - ARTESANÍAS / MANUALIDADES,C JYP NAC DE RIO SECO,AVELLANEDA,532,CAPITAL,24,4145,0,,,,,
AMAICHA DEL V,AMAICHA DEL VALLE,24-010-001-047,,1408 - ARTESANÍAS / MANUALIDADES,C JYP NAC DE LOS VALLES CALCHAQUIES,LOS SAZOS,S/N,TAFI,24,4137,0,,,,,03892-421036
AMAICHA DEL V,AMAICHA DEL VALLE,24-010-001-047,,1101 - GIMNASIA,C JYP NAC DE LOS VALLES CALCHAQUIES,LOS SAZOS,S/N,TAFI,24,4137,0,,,,,03892-421036
AMAICHA DEL V,AMAICHA DEL VALLE,24-010-001-047,,1203 - ALFABETIZACIÓN,C JYP NAC DE LOS VALLES CALCHAQUIES,LOS SAZOS,S/N,TAFI,24,4137,0,,,,,03892-421036
AMAICHA DEL V,AMAICHA DEL VALLE,24-010-001-047,,1403 - TEATRO,C JYP NAC DE LOS VALLES CALCHAQUIES,LOS SAZOS,S/N,TAFI,24,4137,0,,,,,03892-421036
SAN MIGUEL DE TUCUMAN,SAN JAVIER,24-002-006-154,,1101 - GIMNASIA,CENTRO DE JYP NAC SAN JAVIER,SANTA FE *,2644,CAPITAL,24,4000,0,,,,,155027767*
SAN MIGUEL DE TUCUMAN,SAN JAVIER,24-002-006-154,,2101 - ALIMENTACIÓN SALUDABLE,CENTRO DE JYP NAC SAN JAVIER,SANTA FE *,2644,CAPITAL,24,4000,0,,,,,155027767*
SAN MIGUEL DE TUCUMAN,SAN JAVIER,24-002-006-154,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,CENTRO DE JYP NAC SAN JAVIER,SANTA FE *,2644,CAPITAL,24,4000,0,,,,,155027767*
SAN MIGUEL DE TUCUMAN,SAN JAVIER,24-002-006-154,1113 - Tai Chi,1113 - TAI CHI,CENTRO DE JYP NAC SAN JAVIER,SANTA FE *,2644,CAPITAL,24,4000,0,,,,,155027767*
SAN MIGUEL DE TUCUMAN,SAN JAVIER,24-002-006-154,1110 - Danzas tango,1110 - DANZAS TANGO,CENTRO DE JYP NAC SAN JAVIER,SANTA FE *,2644,CAPITAL,24,4000,0,,,,,155027767*
S. MIGUEL DE TUCUMAN,RENACER,24-002-006-144,,1101 - GIMNASIA,"C JYP NAC ""RENACER""",PJE COMANDANTE ROSALES,1366,CAPITAL,24,4000,0,,,,,
SAN MIGUEL DE TUCUMAN,PRIMAVERA 91,24-003-020-084,,1408 - ARTESANÍAS / MANUALIDADES,C JYP NAC 3ERA JUVENTUD-PRIMAVERA 91,GRAL. PAZ *,1852,CAPITAL,24,4000,0,,,,,423-9124 *
SAN MIGUEL DE TUCUMAN,MEC. DEL AUTOMOTOR,24-002-006-142,,1103 - TÉCNICAS DE TRABAJO CORPORAL,C JYP MECANICOS DEL AUTOMOTOR DE TUCUMAN,LUCAS CORDOBA,390,CAPITAL,24,4000,0,,,,,0381-4234217*
SAN MIGUEL DE TUCUMAN,MEC. DEL AUTOMOTOR,24-002-006-142,,1101 - GIMNASIA,C JYP MECANICOS DEL AUTOMOTOR DE TUCUMAN,LUCAS CORDOBA,390,CAPITAL,24,4000,0,,,,,0381-4234217*
SAN MIGUEL DE TUCUMAN,MEC. DEL AUTOMOTOR,24-002-006-142,,1408 - ARTESANÍAS / MANUALIDADES,C JYP MECANICOS DEL AUTOMOTOR DE TUCUMAN,LUCAS CORDOBA,390,CAPITAL,24,4000,0,,,,,0381-4234217*
SAN MIGUEL DE TUCUMAN,MEC. DEL AUTOMOTOR,24-002-006-142,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,C JYP MECANICOS DEL AUTOMOTOR DE TUCUMAN,LUCAS CORDOBA,390,CAPITAL,24,4000,0,,,,,0381-4234217*
SAN MIGUEL DE TUCUMAN,MEC. DEL AUTOMOTOR,24-002-006-142,1110 - Danzas tango,1110 - DANZAS TANGO,C JYP MECANICOS DEL AUTOMOTOR DE TUCUMAN,LUCAS CORDOBA,390,CAPITAL,24,4000,0,,,,,0381-4234217*
CAPITAL,SAN FRANCISCO,24-002-006-119,,1101 - GIMNASIA,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
CAPITAL,SAN FRANCISCO,24-002-006-119,1113 - Tai Chi,1113 - TAI CHI,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
CAPITAL,SAN FRANCISCO,24-002-006-119,,1408 - ARTESANÍAS / MANUALIDADES,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
CAPITAL,SAN FRANCISCO,24-002-006-119,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
CAPITAL,SAN FRANCISCO,24-002-006-119,1110 - Danzas tango,1110 - DANZAS TANGO,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
CAPITAL,SAN FRANCISCO,24-002-006-119,1111 - Danzas Tropicales,1111 - DANZAS TROPICALES,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
CAPITAL,SAN FRANCISCO,24-002-006-119,1210 - Juegos de Mesa Ajedrez,1210 - JUEGOS DE MESA AJEDREZ,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
CAPITAL,SAN FRANCISCO,24-002-006-119,,1405 - CANTO / CORO,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
CAPITAL,SAN FRANCISCO,24-002-006-119,1113 - Tai Chi,1113 - TAI CHI,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
CAPITAL,SAN FRANCISCO,24-002-006-119,,1405 - CANTO / CORO,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
CAPITAL,SAN FRANCISCO,24-002-006-119,1113 - Tai Chi,1113 - TAI CHI,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
CAPITAL,SAN FRANCISCO,24-002-006-119,,1406 - ARTES PLÁSTICAS,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
CAPITAL,SAN FRANCISCO,24-002-006-119,,1101 - GIMNASIA,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
CAPITAL,SAN FRANCISCO,24-002-006-119,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
CAPITAL,SAN FRANCISCO,24-002-006-119,1110 - Danzas tango,1110 - DANZAS TANGO,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
CAPITAL,SAN FRANCISCO,24-002-006-119,,1405 - CANTO / CORO,C JYP NAC SAN JOSE OBRERO,INDEPENDENCIA AV.,1025,TUCUMAN,24,4000,0,,,,,
FAMAILLA,NTRA. SRA DEL CARMEN,24-005-007-166,,1101 - GIMNASIA,CENTRO DE JYP NUESTRA  SEÑORA DEL CARMEN DE FAMAILLA,SAN MARTIN *,45,FAMAILLA,24,4132,0,,,,,
FAMAILLA,NTRA. SRA DEL CARMEN,24-005-007-166,,1408 - ARTESANÍAS / MANUALIDADES,CENTRO DE JYP NUESTRA  SEÑORA DEL CARMEN DE FAMAILLA,SAN MARTIN *,45,FAMAILLA,24,4132,0,,,,,
ING.SANTA LUCIA,STA. LUCIA,24-008-006-028,,1408 - ARTESANÍAS / MANUALIDADES,C JYP NAC DE SANTA LUCIA,ALVAREZ CONDARCO,145,MONTEROS,24,4135,0,,,,,03863-498730*
ING.SANTA LUCIA,STA. LUCIA,24-008-006-028,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,C JYP NAC DE SANTA LUCIA,ALVAREZ CONDARCO,145,MONTEROS,24,4135,0,,,,,03863-498730*
FAMAILLA,FAMAILLA,24-005-007-197,,1408 - ARTESANÍAS / MANUALIDADES,ASOC. CIVIL CTRO. DE REC. CULT. Y TURISMO LOS LAPACHOS PARA LA 3º EDAD,BARTOLOME MITRE,646,FAMAILLA,24,4132,0,,,,,
FAMAILLA,FAMAILLA,24-005-007-197,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,ASOC. CIVIL CTRO. DE REC. CULT. Y TURISMO LOS LAPACHOS PARA LA 3º EDAD,BARTOLOME MITRE,646,FAMAILLA,24,4132,0,,,,,
VILLA OBRERA,ING. LEALES,24-007-007-036,,1101 - GIMNASIA,C JYP NAC DEL INGENIO LEALES,VILLA OBRERA,970,LEALES,24,4111,0,,,,,03863-154176926*
VILLA OBRERA,ING. LEALES,24-007-007-036,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,C JYP NAC DEL INGENIO LEALES,VILLA OBRERA,970,LEALES,24,4111,0,,,,,03863-154176926*
VILLA OBRERA,ING. LEALES,24-007-007-036,1110 - Danzas tango,1110 - DANZAS TANGO,C JYP NAC DEL INGENIO LEALES,VILLA OBRERA,970,LEALES,24,4111,0,,,,,03863-154176926*
VILLA OBRERA,ING. LEALES,24-007-007-036,,1408 - ARTESANÍAS / MANUALIDADES,C JYP NAC DEL INGENIO LEALES,VILLA OBRERA,970,LEALES,24,4111,0,,,,,03863-154176926*
SAN MIGUEL DE TUCUMAN,FRANC. ERBETTA,24-007-064-145,,1101 - GIMNASIA,C JYP DR. ERBETTA,SAENZ PEÑA,184,CAPITAL,24,4168,0,,,,,0381-4821147*
SAN MIGUEL DE TUCUMAN,FRANC. ERBETTA,24-007-064-145,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,C JYP DR. ERBETTA,SAENZ PEÑA,184,CAPITAL,24,4168,0,,,,,0381-4821147*
SAN MIGUEL DE TUCUMAN,FRANC. ERBETTA,24-007-064-145,,1408 - ARTESANÍAS / MANUALIDADES,C JYP DR. ERBETTA,SAENZ PEÑA,184,CAPITAL,24,4168,0,,,,,0381-4821147*
SAN MIGUEL DE TUCUMAN,FRANC. ERBETTA,24-007-064-145,,1404 - MÚSICA,C JYP DR. ERBETTA,SAENZ PEÑA,184,CAPITAL,24,4168,0,,,,,0381-4821147*
SAN MIGUEL DE TUCUMAN,FRANC. ERBETTA,24-007-064-145,1113 - Tai Chi,1113 - TAI CHI,C JYP DR. ERBETTA,SAENZ PEÑA,184,CAPITAL,24,4168,0,,,,,0381-4821147*
SAN MIGUEL DE TUCUMAN,FRANC. ERBETTA,24-007-064-145,,1408 - ARTESANÍAS / MANUALIDADES,C JYP DR. ERBETTA,SAENZ PEÑA,184,CAPITAL,24,4168,0,,,,,0381-4821147*
RANCHILLOS,ROSA MISTICA,24-003-018-029,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,ASOC JYP NAC DE RANCHILLOS,RUTA 302    KM 25,S/N,CRUZ ALTA,24,4178,0,,,,,0381-154428925*
LA RAMADA,20 DE JUNIO,24-001-013-087,,1101 - GIMNASIA,C JYP NAC 20 DE JUNIO,9 DE JULIO,397,BURRUYACU,24,4119,0,,,,,0381-155759371*
LA RAMADA,20 DE JUNIO,24-001-013-087,,2101 - ALIMENTACIÓN SALUDABLE,C JYP NAC 20 DE JUNIO,9 DE JULIO,397,BURRUYACU,24,4119,0,,,,,0381-155759371*
LA RAMADA,20 DE JUNIO,24-001-013-087,,1408 - ARTESANÍAS / MANUALIDADES,C JYP NAC 20 DE JUNIO,9 DE JULIO,397,BURRUYACU,24,4119,0,,,,,0381-155759371*
LA RAMADA,20 DE JUNIO,24-001-013-087,,1408 - ARTESANÍAS / MANUALIDADES,C JYP NAC 20 DE JUNIO,9 DE JULIO,397,BURRUYACU,24,4119,0,,,,,0381-155759371*
TAFI VIEJO,FERROVIARIOS,24-010-013-011,,1101 - GIMNASIA,CTRO. DE JYP FERROV. Y DEMAS LEYES  NAC.,AVDA. ALEM,715,TAFI,24,4103,0,,,,,0381-4617460*
TAFI VIEJO,FERROVIARIOS,24-010-013-011,,2101 - ALIMENTACIÓN SALUDABLE,CTRO. DE JYP FERROV. Y DEMAS LEYES  NAC.,AVDA. ALEM,715,TAFI,24,4103,0,,,,,0381-4617460*
TAFI VIEJO,FERROVIARIOS,24-010-013-011,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,CTRO. DE JYP FERROV. Y DEMAS LEYES  NAC.,AVDA. ALEM,715,TAFI,24,4103,0,,,,,0381-4617460*
TAFI VIEJO,FERROVIARIOS,24-010-013-011,1113 - Tai Chi,1113 - TAI CHI,CTRO. DE JYP FERROV. Y DEMAS LEYES  NAC.,AVDA. ALEM,715,TAFI,24,4103,0,,,,,0381-4617460*
CEBIL REDONDO,SAN JOSE,24-018-007-106,,1101 - GIMNASIA,CENTRO DE JYP SAN JOSE CEBIL REDONDO,SAN MARTIN Y PJE. M LILLO, S/N,YERBA,24,4105,0,,,,,0381-4346742*
CEBIL REDONDO,SAN JOSE,24-018-007-106,,2101 - ALIMENTACIÓN SALUDABLE,CENTRO DE JYP SAN JOSE CEBIL REDONDO,SAN MARTIN Y PJE. M LILLO, S/N,YERBA,24,4105,0,,,,,0381-4346742*
CEBIL REDONDO,SAN JOSE,24-018-007-106,1113 - Tai Chi,1113 - TAI CHI,CENTRO DE JYP SAN JOSE CEBIL REDONDO,SAN MARTIN Y PJE. M LILLO, S/N,YERBA,24,4105,0,,,,,0381-4346742*
TACO RALO,LAS MARAVILLAS,24-017-014-207,,1101 - GIMNASIA,"""CENTRO DE JYP LAS MARAVILLAS ASOCIACIÓN CIVIL""",RUTA NAC. 341 KM. 23,S/N,RACO,24,4105,0,,,,,
TACO RALO,LAS MARAVILLAS,24-017-014-207,1109 - Danzas folklore,1109 - DANZAS FOLKLORE,"""CENTRO DE JYP LAS MARAVILLAS ASOCIACIÓN CIVIL""",RUTA NAC. 341 KM. 23,S/N,RACO,24,4105,0,,,,,
VILLA CARMELA,V║ CARMELA,24-010-014-040,,1101 - GIMNASIA,CENTRO DE JYP NAC DE VILLA CARMELA,J.B.TERAN  ESQ. LOS PINOS,S/N,YERBA BUENA,24,4105,0,,,,,
VILLA CARMELA,V║ CARMELA,24-010-014-040,1113 - Tai Chi,1113 - TAI CHI,CENTRO DE JYP NAC DE VILLA CARMELA,J.B.TERAN  ESQ. LOS PINOS,S/N,YERBA BUENA,24,4105,0,,,,,
V. M. MORENO,V║ M. MORENO,24-002-008-111,,1101 - GIMNASIA,C JYP NAC MARIANO MORENO,CALLE 8 *,375,TAFI VIEJO,24,4101,0,,,,,
V. M. MORENO,V║ M. MORENO,24-002-008-111,1113 - Tai Chi,1113 - TAI CHI,C JYP NAC MARIANO MORENO,CALLE 8 *,375,TAFI VIEJO,24,4101,0,,,,,
V. M. MORENO,V║ M. MORENO,24-002-008-111,,1103 - TÉCNICAS DE TRABAJO CORPORAL,C JYP NAC MARIANO MORENO,CALLE 8 *,375,TAFI VIEJO,24,4101,0,,,,,
